taxonomy_version,theme_id,theme_name,sector,horizon,description,source_policy
2026-05-31-core-themes-v1,ai_compute,AI compute platforms,technology,1-3 years,"Accelerators, cloud AI platforms, model serving, and enterprise AI infrastructure demand.","Require issuer filings, IR releases, hyperscaler capex evidence, or durable industry data before recommendation escalation."
2026-05-31-core-themes-v1,hbm_memory,HBM and memory cycle,technology,6-24 months,"HBM, DRAM, NAND, and memory-cycle supply demand linked to AI and data-center buildout.","Prefer issuer filings, earnings transcripts, capex plans, and supply-chain primary evidence."
2026-05-31-core-themes-v1,foundry_semicap,Foundry and semiconductor policy,technology,1-3 years,"Foundry capacity, semiconductor equipment, export controls, CHIPS Act, and reshoring policy.","Require SEC filings, government policy documents, grants, export-control notices, or issuer materials."
2026-05-31-core-themes-v1,ai_server_infrastructure,AI server and data-center hardware,technology,6-24 months,"AI servers, racks, thermal design, storage, networking, and enterprise AI capex.","Require issuer releases, filings, customer demand evidence, or confirmed procurement data."
2026-05-31-core-themes-v1,data_center_power,Data-center power and cooling,utilities,1-3 years,"Power generation, grid capacity, cooling, nuclear, and utility exposure to data-center load growth.","Require utility filings, regulator materials, power purchase agreements, issuer releases, or official project data."
2026-05-31-core-themes-v1,cybersecurity,Enterprise cybersecurity,technology,1-3 years,"Cloud security, endpoint, identity, network defense, and government cyber policy demand.","Require issuer filings, contract disclosures, government cybersecurity policy, or primary procurement evidence."
2026-05-31-core-themes-v1,defense_aerospace,Defense and aerospace,industrials,1-3 years,"Defense procurement, aerospace backlog, drones, missiles, satellites, and geopolitical spending.","Require DoD/agency awards, issuer backlog disclosures, budget documents, or official procurement records."
2026-05-31-core-themes-v1,energy_security,Energy security and hydrocarbons,energy,6-24 months,"Oil, gas, LNG, refining, sanctions, energy security, and geopolitical supply constraints.","Require EIA/DOE/Treasury materials, issuer filings, official sanctions, or durable commodity context."
2026-05-31-core-themes-v1,clean_energy_grid,Clean energy and grid transition,utilities,1-3 years,"Solar, grid equipment, storage, interconnection, and electricity demand transition.","Require DOE/FERC/state regulator documents, issuer filings, or project-level evidence."
2026-05-31-core-themes-v1,financial_market_infrastructure,Financial and market infrastructure,financials,6-24 months,"Banks, brokers, exchanges, crypto-linked market access, rate sensitivity, and capital markets activity.","Require regulatory filings, bank disclosures, market-structure rules, or durable volume and spread data."
2026-05-31-core-themes-v1,healthcare_policy,Healthcare policy and managed care,healthcare,6-24 months,"Managed care, reimbursement, drug policy, hospital utilization, and election/regulatory health policy.","Require CMS/HHS documents, SEC filings, issuer releases, or official policy evidence."
2026-05-31-core-themes-v1,consumer_platforms,Consumer platforms and ads,communication_services,6-24 months,"Ads, app ecosystems, gaming, social platforms, e-commerce, and consumer demand.","Require issuer filings, platform policy evidence, app-store disclosures, or durable ad-market data."
2026-05-31-core-themes-v1,industrial_automation,Industrial automation and reshoring,industrials,1-3 years,"Factory automation, aerospace supply chain, electrification equipment, and reshoring capex.","Require issuer backlog/capex evidence, government manufacturing policy, or official project data."
2026-05-31-core-themes-v1,crypto_infrastructure,Crypto infrastructure and digital assets,financials,3-18 months,"Crypto exchanges, treasury exposure, ETFs, market structure, and digital-asset regulatory regime.","Require SEC/CFTC/Treasury materials, issuer filings, exchange disclosures, or durable market data."
2026-05-31-core-themes-v1,automobility_ev,Automobility and EV transition,consumer_discretionary,1-3 years,"EVs, autonomy, batteries, tariffs, domestic manufacturing, and auto credit cycle.","Require issuer filings, regulator safety data, tariff policy, official incentives, or durable delivery data."
